student_id,exercise_id,category,order,score,pass_status,grade,sex,mean_perception,time_spent,total_attempts,cumulative_passes,pass_rate
3,M3S301,Missing_Numbers,15,3,Pass,3,Boy,3.0,5.985213985403308,1,13,0.8666666666666667
3,M3S204,Addition,16,4,Pass,3,Boy,3.0,17.157399698448355,1,14,0.875
3,M3S205,Subtraction,17,4,Pass,3,Boy,3.0,8.43827600537319,1,15,0.8823529411764706
3,M3S101,Word_Problems,18,2,Pass,3,Boy,3.0,38.05746858975535,1,16,0.8888888888888888
3,M3S206,Subtraction,19,3,Pass,3,Boy,3.0,57.67826710081939,1,17,0.8947368421052632
3,M3S207,Multiplication,20,4,Pass,3,Boy,3.0,7.216936873311415,1,18,0.9
3,M3S502,Geometry,21,2,Pass,3,Boy,3.0,34.03383016950022,1,19,0.9047619047619048
3,M3S302,Missing_Numbers,22,2,Pass,3,Boy,3.0,21.666381777158094,1,20,0.9090909090909091
3,M3S102,Logical_Reasoning,23,1,Pass,3,Boy,3.0,19.085634163321735,1,21,0.9130434782608695
3,M3S208,Division,24,3,Pass,3,Boy,3.0,40.494432870004744,1,22,0.9166666666666666
3,M3S602,Coding,25,0,Fail,3,Boy,3.0,8.110817675459698,1,22,0.88
4,M3S201a,Multiplication,1,1,Pass,3,Boy,2.6,33.04102407659978,1,1,1.0
4,M3S201b,Multiplication,2,0,Fail,3,Boy,2.6,22.26649608958799,1,1,0.5
4,M3S201c,Multiplication,3,0,Fail,3,Boy,2.6,56.697237250951495,1,1,0.3333333333333333
4,M3S201d,Multiplication,4,0,Fail,3,Boy,2.6,8.713906886466305,1,1,0.25
4,M3S201e,Multiplication,5,0,Fail,3,Boy,2.6,36.03614267042035,1,1,0.2
4,M3S201f,Multiplication,6,1,Pass,3,Boy,2.6,14.769183593760193,1,2,0.3333333333333333
4,M3S201g,Multiplication,7,0,Fail,3,Boy,2.6,57.04621913054913,1,2,0.2857142857142857
4,M3S201h,Multiplication,8,0,Fail,3,Boy,2.6,15.663448843364728,1,2,0.25
4,M3S201i,Multiplication,9,0,Fail,3,Boy,2.6,33.92156877131425,1,2,0.2222222222222222
4,M3S201j,Multiplication,10,0,Fail,3,Boy,2.6,24.894748569409877,1,2,0.2
4,M3S202,Subtraction,11,3,Pass,3,Boy,2.6,24.203450104575587,1,3,0.2727272727272727
4,M3S203,Division,12,2,Pass,3,Boy,2.6,29.149529975634074,1,4,0.3333333333333333
4,M3S501,Geometry,13,5,Pass,3,Boy,2.6,11.7590574164432,1,5,0.38461538461538464
4,M3S601,Data_Analysis,14,3,Pass,3,Boy,2.6,11.233645597710257,1,6,0.42857142857142855
4,M3S301,Missing_Numbers,15,3,Pass,3,Boy,2.6,38.22360917795464,1,7,0.4666666666666667
4,M3S204,Addition,16,3,Pass,3,Boy,2.6,25.35743786921341,1,8,0.5
4,M3S205,Subtraction,17,4,Pass,3,Boy,2.6,9.174983598724927,1,9,0.5294117647058824
4,M3S101,Word_Problems,18,2,Pass,3,Boy,2.6,20.936254114370257,1,10,0.5555555555555556
4,M3S206,Subtraction,19,2,Pass,3,Boy,2.6,45.77305357184284,1,11,0.5789473684210527
4,M3S207,Multiplication,20,3,Pass,3,Boy,2.6,10.325873746719484,1,12,0.6
4,M3S502,Geometry,21,0,Fail,3,Boy,2.6,50.81205355901936,1,12,0.5714285714285714
4,M3S302,Missing_Numbers,22,2,Pass,3,Boy,2.6,53.78656478924125,1,13,0.5909090909090909
4,M3S102,Logical_Reasoning,23,2,Pass,3,Boy,2.6,20.387492707502723,1,14,0.6086956521739131
4,M3S208,Division,24,1,Pass,3,Boy,2.6,46.45821492131615,1,15,0.625
4,M3S602,Coding,25,1,Pass,3,Boy,2.6,47.327704060255655,1,16,0.64
5,M3S201a,Multiplication,1,0,Fail,3,Boy,2.4,50.07178316470675,1,0,0.0
5,M3S201b,Multiplication,2,0,Fail,3,Boy,2.4,46.953300585717265,1,0,0.0
5,M3S201c,Multiplication,3,1,Pass,3,Boy,2.4,23.957923454322557,1,1,0.3333333333333333
5,M3S201d,Multiplication,4,1,Pass,3,Boy,2.4,39.16710365263907,1,2,0.5
5,M3S201e,Multiplication,5,0,Fail,3,Boy,2.4,39.67835195410128,1,2,0.4
5,M3S201f,Multiplication,6,1,Pass,3,Boy,2.4,48.71126557462846,1,3,0.5
5,M3S201g,Multiplication,7,1,Pass,3,Boy,2.4,15.196377124766267,1,4,0.5714285714285714
5,M3S201h,Multiplication,8,0,Fail,3,Boy,2.4,53.99109862212278,1,4,0.5
5,M3S201i,Multiplication,9,1,Pass,3,Boy,2.4,53.02463273637235,1,5,0.5555555555555556
5,M3S201j,Multiplication,10,0,Fail,3,Boy,2.4,22.403962752077867,1,5,0.5
5,M3S202,Subtraction,11,3,Pass,3,Boy,2.4,12.023021411197009,1,6,0.5454545454545454
