student_id,exercise_id,category,order,score,max,normalized_score,reward,flag_score_exceeds_max,grade,sex,mean_perception,ver_oplm,ver_da,digiarvi_version,school_lang,home_lang,strong_lang,friend_lang,home_school_lang_match,missing_all,missing_beginning30,missing_last50,pSUM,SUM_Rally,SUM,STD_TOTAL_theta_25,T10_TOTAL_theta_25
2,M3S302,Missing_Numbers,22,2,2,1.0,1.0,0,3,Girl,4.0,1,3lk_FI_V1,1,Finnish,Finni,Finni,Finnish,0.0,0.0,0.0,0.0,91.22807017543859,10.0,52,-1.073,392.7
2,M3S102,Logical_Reasoning,23,4,4,1.0,1.0,0,3,Girl,4.0,1,3lk_FI_V1,1,Finnish,Finni,Finni,Finnish,0.0,0.0,0.0,0.0,91.22807017543859,10.0,52,-1.073,392.7
2,M3S208,Division,24,3,3,1.0,1.0,0,3,Girl,4.0,1,3lk_FI_V1,1,Finnish,Finni,Finni,Finnish,0.0,0.0,0.0,0.0,91.22807017543859,10.0,52,-1.073,392.7
2,M3S602,Coding,25,0,1,0.0,0.0,0,3,Girl,4.0,1,3lk_FI_V1,1,Finnish,Finni,Finni,Finnish,0.0,0.0,0.0,0.0,91.22807017543859,10.0,52,-1.073,392.7
3,M3S201a,Multiplication,1,1,1,1.0,1.0,0,3,Boy,3.0,1,3lk_FI_V1,1,Finnish,Finni,Finni,Finnish,0.0,0.0,0.0,0.0,84.21052631578947,8.0,48,-1.679,332.1
3,M3S201b,Multiplication,2,1,1,1.0,1.0,0,3,Boy,3.0,1,3lk_FI_V1,1,Finnish,Finni,Finni,Finnish,0.0,0.0,0.0,0.0,84.21052631578947,8.0,48,-1.679,332.1
3,M3S201c,Multiplication,3,1,1,1.0,1.0,0,3,Boy,3.0,1,3lk_FI_V1,1,Finnish,Finni,Finni,Finnish,0.0,0.0,0.0,0.0,84.21052631578947,8.0,48,-1.679,332.1
3,M3S201d,Multiplication,4,1,1,1.0,1.0,0,3,Boy,3.0,1,3lk_FI_V1,1,Finnish,Finni,Finni,Finnish,0.0,0.0,0.0,0.0,84.21052631578947,8.0,48,-1.679,332.1
3,M3S201e,Multiplication,5,1,1,1.0,1.0,0,3,Boy,3.0,1,3lk_FI_V1,1,Finnish,Finni,Finni,Finnish,0.0,0.0,0.0,0.0,84.21052631578947,8.0,48,-1.679,332.1
3,M3S201f,Multiplication,6,1,1,1.0,1.0,0,3,Boy,3.0,1,3lk_FI_V1,1,Finnish,Finni,Finni,Finnish,0.0,0.0,0.0,0.0,84.21052631578947,8.0,48,-1.679,332.1
3,M3S201g,Multiplication,7,1,1,1.0,1.0,0,3,Boy,3.0,1,3lk_FI_V1,1,Finnish,Finni,Finni,Finnish,0.0,0.0,0.0,0.0,84.21052631578947,8.0,48,-1.679,332.1
3,M3S201h,Multiplication,8,0,1,0.0,0.0,0,3,Boy,3.0,1,3lk_FI_V1,1,Finnish,Finni,Finni,Finnish,0.0,0.0,0.0,0.0,84.21052631578947,8.0,48,-1.679,332.1
