timestamp,model,reward,vpr,vpr_pct,regret,regret_ratio,regret_ratio_pct,seed,env_type,reward_base,reward_shaping,reward_norm,reward_base_pct,reward_norm_pct,reward_base_contrib,reward_mastery,reward_motivation,reward_base_contrib_pct,reward_mastery_pct,reward_motivation_pct,hybrid_base_share_pct,hybrid_mastery_share_pct,hybrid_motivation_share_pct,mask_violations,mask_violation_rate,term_improve,term_deficit,term_spacing,term_diversity,term_challenge,speed_threshold_norm,speed_steps_to_threshold_mean,speed_steps_to_threshold_median,speed_success_rate,ep_return_mean,ep_return_std,ep_return_mean_norm_across_models,variant,scalability_reward_ratio,scalability_ep_return_ratio,adaptability_reward_ratio,adaptability_ep_return_ratio,speed_steps_to_threshold_mean_agg,speed_success_rate_agg,scalability_ep_return_ratio_agg,adaptability_ep_return_ratio_agg,scalability_reward_ratio_agg,adaptability_reward_ratio_agg,axis_accuracy,axis_consistency,axis_speed,axis_scalability,axis_adaptability,model_base,reward_correct_w,reward_score_w,hybrid_base_w,hybrid_mastery_w,hybrid_motivation_w,rew_improve_w,rew_deficit_w,rew_spacing_w,rew_diversity_w,rew_challenge_w,ema_alpha,need_threshold,spacing_window,diversity_recent_k,challenge_target,challenge_band,invalid_penalty,student_fraction
2025-09-03T22:05:38.622807+00:00,A3C__seed456__scalesmall,0.9730778228826422,1.0,100.0,0.5202289326320794,0.342878979836051,34.2878979836051,456,interactive,0.626266203703703,0.3468116191789147,0.37426070110869963,62.626620370370304,37.426070110869965,0.626266203703703,0.1978486562159541,0.14896296296296074,62.626620370370304,19.78486562159541,14.896296296296075,64.35931319947977,20.332254169543493,15.308432630976743,0.0,0.0,0.1397409194580586,0.05595639297385454,0.5,0.5,0.24481481481481515,0.7,11.0,11.0,0.07333333333333333,23.353867749183003,5.0731377572225345,,scalability_small,,,,,,,,,,,,,,,,A3C,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.2,0.2,0.3,0.6,5,5,0.7,0.4,-0.1,0.5
2025-09-03T22:05:38.622807+00:00,A3C__seed456__adaptpre,1.0479375687410473,1.0,100.0,0.5032484301463058,0.3252418819228037,32.52418819228037,456,interactive,0.6869270833333337,0.36101048540771363,0.4030529110542451,68.69270833333337,40.305291105424516,0.6869270833333337,0.2100599645743824,0.15095052083333368,68.69270833333337,21.00599645743824,15.095052083333368,65.55038237235644,20.04508387143139,14.404533756212176,0.0,0.0,0.16319850496214505,0.05692142418661752,0.5,0.5,0.2547526041666668,0.7,11.0,11.0,0.075,25.150501649785145,4.430726183998578,,adapt_pre,,,,,,,,,,,,,,,,A3C,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.2,0.2,0.3,0.6,5,5,0.7,0.4,-0.1,1.0
2025-09-03T22:05:38.622807+00:00,A3C__seed456__adaptpost,1.0168506049212254,1.0,100.0,0.5595263661883578,0.353148501225838,35.3148501225838,456,interactive,0.6587673611111112,0.3580832438101098,0.391096386508161,65.87673611111113,39.109638650816095,0.6587673611111112,0.20849991047677693,0.14958333333333182,65.87673611111113,20.849991047677694,14.958333333333181,64.78506851674133,20.504478186638867,14.710453296619782,0.0,0.0,0.16007839676693317,0.05692142418661752,0.5,0.5,0.24791666666666246,0.7,11.0,11.0,0.1625,24.40441451810927,5.268282576698862,,adapt_post,,,,,,,,,,,,,,,,A3C,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.2,0.2,0.3,0.6,5,5,0.7,0.4,-0.1,1.0
2025-09-03T22:05:38.622807+00:00,A3C__seed789__base,1.0769795290225481,1.0,100.0,0.46956824014391096,0.3034003350002861,30.340033500028614,789,interactive,0.7097291666666677,0.3672503623559126,0.4142228957779161,70.97291666666678,41.42228957779161,0.7097291666666677,0.2151600845781271,0.1520902777777745,70.97291666666678,21.51600845781271,15.20902777777745,65.89996815545734,19.97810346250492,14.12192838203773,0.0,0.0,0.1733987449696457,0.056921424186617386,0.5,0.5,0.2604513888888894,0.7,23.0,23.0,0.16,25.847508696541844,4.236678926499712,,base,0.9224173217870792,0.9224173217870658,0.9624118452001563,0.9624118452001521,,,,,,,,,,,,A3C,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.2,0.2,0.3,0.6,5,5,0.7,0.4,-0.1,1.0
2025-09-03T22:05:38.622807+00:00,A3C__seed789__scalesmall,0.9934245727804888,1.0,100.0,0.4792455916394334,0.3199506580760895,31.995065807608952,789,interactive,0.6372013888888891,0.35622318389161506,0.38208637414632773,63.72013888888891,38.208637414632776,0.6372013888888891,0.20899748944716262,0.14722569444444136,63.72013888888891,20.89974894471626,14.722569444444137,64.14189927932104,21.038083330493848,14.820017390185129,0.0,0.0,0.15868891271786592,0.059306066176470634,0.5,0.5,0.23612847222222297,0.7,23.0,23.0,0.07666666666666666,23.84218974673202,6.0786523862042,,scalability_small,,,,,,,,,,,,,,,,A3C,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.2,0.2,0.3,0.6,5,5,0.7,0.4,-0.1,0.5
2025-09-03T22:05:38.622807+00:00,A3C__seed789__adaptpre,1.0812746908251476,1.0,100.0,0.47796141229281913,0.30636521762392405,30.636521762392405,789,interactive,0.712977430555555,0.3682972602695918,0.4158748810865918,71.2977430555555,41.58748810865918,0.712977430555555,0.21656114915848346,0.15173611111111057,71.2977430555555,21.656114915848345,15.173611111111057,65.9386034469616,20.02831944519297,14.033077107845443,0.0,0.0,0.17620087413034646,0.05692142418661752,0.5,0.5,0.2586805555555556,0.7,23.0,23.0,0.175,25.950592579803562,4.382422113560859,,adapt_pre,,,,,,,,,,,,,,,,A3C,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.2,0.2,0.3,0.6,5,5,0.7,0.4,-0.1,1.0
2025-09-03T22:05:38.622807+00:00,A3C__seed789__adaptpost,1.0406315703652589,1.0,100.0,0.5072715958793751,0.32693517493752416,32.69351749375242,789,interactive,0.6776822916666667,0.36294927869858973,0.4002429116789437,67.76822916666667,40.02429116789437,0.6776822916666667,0.21096432499488615,0.1519849537037028,67.76822916666667,21.096432499488614,15.19849537037028,65.12221144980293,20.27272004834899,14.60506850184806,0.0,0.0,0.1650072258031516,0.05692142418661752,0.5,0.5,0.25992476851851354,0.7,23.0,23.0,0.1875,24.97515768876612,5.213111878840963,,adapt_post,,,,,,,,,,,,,,,,A3C,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.2,0.2,0.3,0.6,5,5,0.7,0.4,-0.1,1.0
2025-09-03T22:05:38.622807+00:00,A3C__AGG,,,,,,,multi,interactive,,,,,,,,,,,,,,,,,,,,,,,,,,25.035605364572678,0.6105039165737574,0.9608746936550634,aggregate,,,,,17.0,0.13444444444444445,0.9623529546708496,0.9864819703290854,0.9623529546708683,0.9864819703290908,96.08746936550634,6.312079651948267,14.512858990118303,96.37188333946536,98.64819703290908,A3C,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.2,0.2,0.3,0.6,5,5,0.7,0.4,-0.1,1.0
2025-09-03T22:05:38.622807+00:00,PPO__seed123__base,1.0321478817099543,1.0,100.0,0.49258196703839985,0.3246405456363491,32.46405456363491,123,interactive,0.6718958333333342,0.3602520483766475,0.39697995450383977,67.18958333333343,39.69799545038398,0.6718958333333342,0.21070690948775214,0.1495451388888849,67.18958333333343,21.070690948775216,14.95451388888849,65.09685726624723,20.414410882544423,14.48873185120835,0.0,0.0,0.16449239478889435,0.056921424186617386,0.5,0.5,0.24772569444444492,0.7,22.0,22.0,0.15,24.77154916103949,5.555856398788462,,base,1.0097183846006819,1.0097183846006819,1.04813962229568,1.0481396222956747,,,,,,,,,,,,PPO,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.2,0.2,0.3,0.6,5,5,0.7,0.4,-0.1,1.0
2025-09-03T22:05:38.622807+00:00,PPO__seed123__scalesmall,1.0421786917891906,1.0,100.0,0.5054063734000588,0.32813922638407006,32.81392263840701,123,interactive,0.6801759259259267,0.3620027658632884,0.4008379583804715,68.01759259259266,40.083795838047145,0.6801759259259267,0.21025508067810209,0.15174768518518097,68.01759259259266,21.025508067810208,15.174768518518098,65.26480835625246,20.17457105337058,14.560620590376965,0.0,0.0,0.1638720894607858,0.05663807189542428,0.5,0.5,0.25873842592592655,0.7,22.0,22.0,0.13666666666666666,25.012288602941172,4.858695237634754,,scalability_small,,,,,,,,,,,,,,,,PPO,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.2,0.2,0.3,0.6,5,5,0.7,0.4,-0.1,0.5
