timestamp,model,reward,vpr,regret,regret_ratio,seed,env_type,reward_correct_w,reward_score_w,ql_epochs,ql_alpha,ql_gamma,ql_eps_start,ql_eps_end,ql_eps_decay_epochs,ql_select_best_on_val,ql_val_episodes,dqn_episodes,dqn_lr,dqn_gamma,dqn_batch_size,dqn_buffer_size,dqn_hidden_dim,dqn_eps_start,dqn_eps_end,dqn_eps_decay_steps,dqn_target_tau,dqn_target_update_interval,dqn_select_best_on_val,dqn_val_episodes,a2c_episodes,a2c_lr,a2c_entropy,a2c_value_coef,a2c_bc_warmup,a2c_bc_weight,a2c_batch_episodes,a3c_episodes,a3c_lr,a3c_entropy,a3c_value_coef,a3c_gae_lambda,a3c_bc_warmup,a3c_bc_weight,a3c_rollouts,ppo_episodes,ppo_lr,ppo_epochs,ppo_batch_episodes,ppo_minibatch_size,ppo_entropy,ppo_value_coef,ppo_gae_lambda,ppo_bc_warmup,ppo_bc_weight
2025-08-25T16:16:13.870254+00:00,DQN,0.6693159722222222,1.0,0.2516805555555526,0.26184374999999677,456,interactive,0.0,1.0,400,0.2,0.9,0.3,0.0,3,False,300,400,0.0002,0.997,512,120000,512,1.0,0.01,20000,0.01,1,False,300,400,0.0003,0.02,0.5,8,2.0,8,400,0.0003,0.02,0.5,0.95,8,2.0,8,400,0.0003,8,16,1024,0.02,0.5,0.95,8,2.0
2025-08-25T16:16:13.870254+00:00,A2C,0.6811173611111111,1.0,0.2987624999999954,0.29936666666666195,456,interactive,0.0,1.0,400,0.2,0.9,0.3,0.0,3,False,300,400,0.0002,0.997,512,120000,512,1.0,0.01,20000,0.01,1,False,300,400,0.0003,0.02,0.5,8,2.0,8,400,0.0003,0.02,0.5,0.95,8,2.0,8,400,0.0003,8,16,1024,0.02,0.5,0.95,8,2.0
2025-08-25T16:16:13.870254+00:00,A3C,0.6620944444444444,1.0,0.28416666666666257,0.2980659722222181,456,interactive,0.0,1.0,400,0.2,0.9,0.3,0.0,3,False,300,400,0.0002,0.997,512,120000,512,1.0,0.01,20000,0.01,1,False,300,400,0.0003,0.02,0.5,8,2.0,8,400,0.0003,0.02,0.5,0.95,8,2.0,8,400,0.0003,8,16,1024,0.02,0.5,0.95,8,2.0
2025-08-25T16:16:13.870254+00:00,PPO,0.6671340277777777,1.0,0.285799999999998,0.29121805555555286,456,interactive,0.0,1.0,400,0.2,0.9,0.3,0.0,3,False,300,400,0.0002,0.997,512,120000,512,1.0,0.01,20000,0.01,1,False,300,400,0.0003,0.02,0.5,8,2.0,8,400,0.0003,0.02,0.5,0.95,8,2.0,8,400,0.0003,8,16,1024,0.02,0.5,0.95,8,2.0
2025-08-25T16:34:02.917061+00:00,Chance,0.33996041666666665,0.49883333333333335,0.60414027777778,0.6217888310185214,789,interactive,0.0,1.0,400,0.2,0.9,0.3,0.0,3,False,300,400,0.0002,0.997,512,120000,512,1.0,0.01,20000,0.01,1,False,300,400,0.0003,0.02,0.5,8,2.0,8,400,0.0003,0.02,0.5,0.95,8,2.0,8,400,0.0003,8,16,1024,0.02,0.5,0.95,8,2.0
2025-08-25T16:34:02.917061+00:00,TrivialSame,0.0,0.0,0.9101840277777788,0.9399583333333333,789,interactive,0.0,1.0,400,0.2,0.9,0.3,0.0,3,False,300,400,0.0002,0.997,512,120000,512,1.0,0.01,20000,0.01,1,False,300,400,0.0003,0.02,0.5,8,2.0,8,400,0.0003,0.02,0.5,0.95,8,2.0,8,400,0.0003,8,16,1024,0.02,0.5,0.95,8,2.0
2025-08-25T16:34:02.917061+00:00,Markov1-Train,0.7098833333333332,1.0,0.1988451388888875,0.20842326388888746,789,interactive,0.0,1.0,400,0.2,0.9,0.3,0.0,3,False,300,400,0.0002,0.997,512,120000,512,1.0,0.01,20000,0.01,1,False,300,400,0.0003,0.02,0.5,8,2.0,8,400,0.0003,0.02,0.5,0.95,8,2.0,8,400,0.0003,8,16,1024,0.02,0.5,0.95,8,2.0
2025-08-25T16:34:02.917061+00:00,Q-Learning,0.7072659722222221,1.0,0.27401944444444076,0.27622430555555155,789,interactive,0.0,1.0,400,0.2,0.9,0.3,0.0,3,False,300,400,0.0002,0.997,512,120000,512,1.0,0.01,20000,0.01,1,False,300,400,0.0003,0.02,0.5,8,2.0,8,400,0.0003,0.02,0.5,0.95,8,2.0,8,400,0.0003,8,16,1024,0.02,0.5,0.95,8,2.0
2025-08-25T16:34:02.917061+00:00,DQN,0.710913888888889,1.0,0.22701111111110914,0.2396065972222203,789,interactive,0.0,1.0,400,0.2,0.9,0.3,0.0,3,False,300,400,0.0002,0.997,512,120000,512,1.0,0.01,20000,0.01,1,False,300,400,0.0003,0.02,0.5,8,2.0,8,400,0.0003,0.02,0.5,0.95,8,2.0,8,400,0.0003,8,16,1024,0.02,0.5,0.95,8,2.0
2025-08-25T16:34:02.917061+00:00,A2C,0.7039569444444445,1.0,0.2693263888888858,0.27133333333333004,789,interactive,0.0,1.0,400,0.2,0.9,0.3,0.0,3,False,300,400,0.0002,0.997,512,120000,512,1.0,0.01,20000,0.01,1,False,300,400,0.0003,0.02,0.5,8,2.0,8,400,0.0003,0.02,0.5,0.95,8,2.0,8,400,0.0003,8,16,1024,0.02,0.5,0.95,8,2.0
2025-08-25T16:34:02.917061+00:00,A3C,0.7060708333333333,1.0,0.2822687499999968,0.2826770833333299,789,interactive,0.0,1.0,400,0.2,0.9,0.3,0.0,3,False,300,400,0.0002,0.997,512,120000,512,1.0,0.01,20000,0.01,1,False,300,400,0.0003,0.02,0.5,8,2.0,8,400,0.0003,0.02,0.5,0.95,8,2.0,8,400,0.0003,8,16,1024,0.02,0.5,0.95,8,2.0
2025-08-25T16:34:02.917061+00:00,PPO,0.7076493055555556,1.0,0.2728430555555516,0.27999930555555147,789,interactive,0.0,1.0,400,0.2,0.9,0.3,0.0,3,False,300,400,0.0002,0.997,512,120000,512,1.0,0.01,20000,0.01,1,False,300,400,0.0003,0.02,0.5,8,2.0,8,400,0.0003,0.02,0.5,0.95,8,2.0,8,400,0.0003,8,16,1024,0.02,0.5,0.95,8,2.0
